78.000,32083.333,-1.150,2.835,-1.685,3.691,-4.126,0.435
79.000,32500.000,-1.480,2.849,-1.369,4.003,-3.845,-0.158
80.000,32916.667,-1.785,2.814,-1.029,4.247,-3.499,-0.748
81.000,33333.333,-2.059,2.730,-0.672,4.418,-3.093,-1.325
82.000,33750.000,-2.297,2.600,-0.303,4.513,-2.634,-1.879
83.000,34166.667,-2.495,2.425,0.070,4.531,-2.129,-2.402
84.000,34583.333,-2.651,2.208,0.442,4.472,-1.589,-2.883
85.000,35000.000,-2.760,1.954,0.807,4.337,-1.021,-3.315
86.000,35416.667,-2.823,1.666,1.157,4.127,-0.436,-3.691
87.000,35833.333,-2.836,1.349,1.487,3.846,0.157,-4.003
88.000,36250.000,-2.801,1.009,1.791,3.500,0.747,-4.247
89.000,36666.667,-2.717,0.652,2.065,3.094,1.324,-4.418
90.000,37083.333,-2.587,0.284,2.303,2.635,1.878,-4.513
91.000,37500.000,-2.412,-0.090,2.502,2.131,2.401,-4.532
92.000,37916.667,-2.195,-0.462,2.657,1.590,2.882,-4.473
93.000,38333.333,-1.941,-0.826,2.767,1.022,3.315,-4.337
94.000,38750.000,-1.653,-1.176,2.829,0.437,3.690,-4.127
95.000,39166.667,-1.336,-1.506,2.843,-0.156,4.002,-3.847
96.000,39583.333,-0.997,-1.811,2.807,-0.745,4.246,-3.500
97.000,40000.000,-0.639,-2.085,2.724,-1.323,4.417,-3.094
98.000,40416.667,-0.271,-2.323,2.593,-1.877,4.513,-2.635
99.000,40833.333,0.103,-2.521,2.419,-2.400,4.531,-2.131
100.000,41250.000,0.475,-2.676,2.202,-2.881,4.472,-1.591
101.000,41666.667,0.839,-2.786,1.947,-3.313,4.336,-1.023
102.000,42083.333,1.189,-2.848,1.659,-3.689,4.126,-0.438
103.000,42500.000,1.519,-2.862,1.343,-4.001,3.846,0.155
104.000,42916.667,1.824,-2.827,1.003,-4.245,3.500,0.745
105.000,43333.333,2.097,-2.743,0.646,-4.416,3.093,1.322
106.000,43750.000,2.335,-2.613,0.277,-4.511,2.634,1.877
107.000,44166.667,2.534,-2.438,-0.096,-4.530,2.130,2.400
108.000,44583.333,2.689,-2.221,-0.468,-4.471,1.590,2.881
109.000,45000.000,2.799,-1.967,-0.832,-4.335,1.022,3.313
110.000,45416.667,2.861,-1.679,-1.182,-4.125,0.437,3.688
111.000,45833.333,2.875,-1.362,-1.513,-3.845,-0.156,4.001
112.000,46250.000,2.840,-1.022,-1.817,-3.498,-0.746,4.244
113.000,46666.667,2.756,-0.665,-2.091,-3.092,-1.323,4.416
114.000,47083.333,2.626,-0.297,-2.329,-2.633,-1.878,4.511
